model,gene,auroc
logistic_regression,ABCA1,0.7912178956089478
logistic_regression,ABCA12,0.7219770520741394
logistic_regression,ABCC2,0.7466063348416291
logistic_regression,ABCC8,0.7914494264859229
logistic_regression,ACP5,0.8166666666666667
logistic_regression,ADA2,0.8333333333333334
logistic_regression,ADGRV1,0.7817275747508305
logistic_regression,AGBL5,0.8
logistic_regression,ALDH18A1,0.6141304347826086
logistic_regression,ALDH3A2,0.8598484848484849
logistic_regression,ALDH5A1,0.6706689536878216
logistic_regression,ALDH7A1,0.746031746031746
logistic_regression,ALOX12B,0.6
logistic_regression,ALS2,0.9444444444444444
logistic_regression,AMH,0.7566137566137566
logistic_regression,AMT,0.676470588235294
logistic_regression,ANO10,0.8400000000000001
logistic_regression,APOB,0.5251710654936461
logistic_regression,ARID1A,0.8185328185328185
logistic_regression,ARSG,0.8333333333333334
logistic_regression,ASL,0.8103092783505155
logistic_regression,ATP2B3,0.5636363636363637
logistic_regression,AVP,0.9333333333333333
logistic_regression,BBS10,0.7925925925925926
logistic_regression,BCL11B,0.8202959830866807
logistic_regression,BRAF,0.8407407407407408
logistic_regression,BRF1,0.875
logistic_regression,C3,0.7532467532467533
logistic_regression,CACNA1A,0.8960420531849105
logistic_regression,CAMK2B,0.804
logistic_regression,CAPN3,0.6977886977886978
logistic_regression,CARD11,0.9141666666666668
logistic_regression,CASQ2,0.7592592592592593
logistic_regression,CDH23,0.8155655655655656
logistic_regression,CDK13,0.8436522826766729
logistic_regression,CDKN2A,0.8285714285714286
logistic_regression,CELSR3,0.6097560975609756
logistic_regression,CERKL,0.875
logistic_regression,CHD2,0.8331932773109244
logistic_regression,CHD4,0.8825031928480205
logistic_regression,CHD5,0.876984126984127
logistic_regression,CIT,0.9333333333333333
logistic_regression,CNOT3,0.9572649572649574
logistic_regression,COL10A1,0.8351449275362319
logistic_regression,COL12A1,0.7552910052910053
logistic_regression,COL1A1,0.7800132598939208
logistic_regression,COL2A1,0.8064560439560441
logistic_regression,COL3A1,0.9003860276810093
logistic_regression,COL5A2,0.8582903040734366
logistic_regression,COLQ,0.7066666666666667
logistic_regression,COPA,0.6599999999999999
logistic_regression,COX10,0.7755102040816326
logistic_regression,CRPPA,0.6031746031746033
logistic_regression,CTNS,0.7240259740259741
logistic_regression,CTR9,0.7487179487179487
logistic_regression,CUL7,0.9600000000000001
logistic_regression,CYFIP2,0.7424242424242424
logistic_regression,CYP26B1,0.690909090909091
logistic_regression,CYP4V2,0.863095238095238
logistic_regression,DCTN1,0.9338235294117647
logistic_regression,DHCR7,0.8230994152046783
logistic_regression,DLL4,0.9241071428571428
logistic_regression,DNAAF3,0.5324675324675324
logistic_regression,DNAI1,0.8232323232323232
logistic_regression,DNM1,0.7906178489702517
logistic_regression,DNMT3A,0.9640625
logistic_regression,DNMT3B,0.8187134502923976
logistic_regression,DOT1L,0.7714285714285714
logistic_regression,DSG2,0.7073170731707317
logistic_regression,DYNC2I2,0.5432098765432098
logistic_regression,EBF3,0.7595744680851064
logistic_regression,EDAR,0.8508771929824561
logistic_regression,ELAC2,0.824074074074074
logistic_regression,ELANE,0.8125
logistic_regression,ENG,0.800950486295314
logistic_regression,ENPP1,0.837037037037037
logistic_regression,EP300,0.8013754411365487
logistic_regression,ERCC5,0.8666666666666667
logistic_regression,EYA1,0.956140350877193
logistic_regression,EZH2,0.8654970760233918
logistic_regression,F11,0.8168103448275862
logistic_regression,F5,0.8295454545454546
logistic_regression,F8,0.8013753398368783
logistic_regression,FAM20C,0.9025641025641027
logistic_regression,FANCI,0.8074534161490683
logistic_regression,FARS2,0.8111888111888113
logistic_regression,FECH,0.8928571428571428
logistic_regression,FGFR1,0.9083820662768032
logistic_regression,FLCN,0.8630952380952381
logistic_regression,FN1,0.9566003616636527
logistic_regression,FOXH1,0.8055555555555555
logistic_regression,FOXP1,0.7530791788856305
logistic_regression,FRMD7,0.8513931888544892
logistic_regression,FUS,0.8166666666666667
logistic_regression,GABRG2,0.7886178861788619
logistic_regression,GCDH,0.7174418604651163
logistic_regression,GFAP,0.8616915422885572
logistic_regression,GJA3,0.9390681003584229
logistic_regression,GJB3,0.58
logistic_regression,GLUD1,0.5634920634920635
logistic_regression,GNAI1,0.68
logistic_regression,GNAS,0.8296703296703296
logistic_regression,GPI,0.5098039215686274
logistic_regression,GPR143,0.803030303030303
logistic_regression,GRIA3,0.6369047619047619
logistic_regression,GRIN1,0.6949910554561717
logistic_regression,GUCY2C,0.638888888888889
logistic_regression,HBA1,0.6458333333333333
logistic_regression,HCN4,0.962962962962963
logistic_regression,HECW2,0.8013698630136986
logistic_regression,HNF1A,0.7298507462686568
logistic_regression,HNRNPK,0.7545454545454546
logistic_regression,HSD3B2,0.7763975155279503
logistic_regression,HTRA1,0.7789473684210526
logistic_regression,IARS1,0.9025974025974025
logistic_regression,IDUA,0.8151815181518152
logistic_regression,IFT122,0.9757575757575758
logistic_regression,IGF1R,0.8941176470588236
logistic_regression,INF2,0.8880916030534352
logistic_regression,JAK3,0.7905138339920948
logistic_regression,KCNC3,0.6973684210526316
logistic_regression,KCND3,0.9125
logistic_regression,KCNJ11,0.6536585365853659
logistic_regression,KCNJ5,0.7916666666666667
logistic_regression,KCNQ3,0.7696969696969698
logistic_regression,KIF11,0.6745689655172414
